GT,Model_1_0,Model_2_1
0,0.9991417656357701,0.0008727221832711056
0,0.9760967026010258,2.925272961989775e-05
0,0.8745505049495778,7.37301921737231e-05
1,0.940808945011622,0.3179076396828803
0,0.8745505049495778,6.29462852153207e-05
0,0.8740013561302477,0.0017948347587540521
0,1.0,0.00016906378576417175
1,0.21339408379010785,0.9999905913732353
1,0.003473899112943449,0.9939561064666369
1,0.019540771911287457,0.999659566664671
1,0.003473899112943449,0.9863440980048062
1,0.0015788830053065344,0.9951284744261428
0,0.9991417656357701,0.00040012089211496226
1,0.3863043072291741,0.7460637826301149
1,0.21339408379010785,0.972234080083994
1,0.009707549119827658,0.9990489640701334
0,0.8745505049495778,7.86876907976611e-05
1,0.003473899112943449,0.9776367212403025
0,0.8745505049495778,0.00023730149457897284
0,0.8745505049495778,0.0002632256400945074
0,0.9991417656357701,0.00027418981447221004
1,0.0015788830053065344,0.9882289380333882
1,0.21339408379010785,0.9705132499717883
0,0.8740013561302477,0.0002697734126746155
1,0.3172743034973669,0.9835797908163229
1,0.009707549119827658,0.9846818707445075
1,0.0015788830053065344,0.9972335243203609
0,0.9991417656357701,0.0001683337194289155
0,0.9459740930585543,6.015119585590786e-05
1,0.0015788830053065344,0.996825050221992
0,0.8740013561302477,0.00025519701192440165
0,0.9991417656357701,5.4544829312931836e-05
1,0.003473899112943449,0.9865117651868106
0,0.9459740930585543,0.00019362652271134488
0,0.9991417656357701,0.00030271854298812294
1,0.009707549119827658,0.9787956422301225
0,0.8745505049495778,8.031486246565966e-05
0,0.9961613774964594,0.003394359296402847
1,0.003473899112943449,0.9974242618030406
0,0.8162176843254297,0.21222256043037094
1,0.003473899112943449,0.9779875248821195
0,0.284758109577726,0.9224404425654765
1,0.009707549119827658,0.9886231684288953
0,0.9967105263157895,0.0002152150672695725
0,0.9459740930585543,7.953826373471576e-05
0,0.8745505049495778,0.00022251600138812965
0,0.8162176843254297,0.02878199104491153
1,0.021374274625324218,0.9882092720082604
0,0.9991417656357701,4.276932543755561e-05
0,0.9991417656357701,0.0002529465753780314
0,0.9459740930585543,5.9252214310243266e-05
1,0.060281668814659885,0.9947205425525222
0,1.0,0.000904433725726314
1,0.009707549119827658,0.9993231084429894
0,0.8745505049495778,0.00025127439914499213
0,0.9991417656357701,4.886985506073358e-05
0,0.8745505049495778,0.00022020761053228438
0,0.9991417656357701,4.045395090404341e-05
1,0.003473899112943449,0.9879746929191451
1,0.0015788830053065344,0.9968428418816302
1,0.003473899112943449,0.98728104198587
0,0.9991417656357701,0.00015503346570572982
1,0.21339408379010785,0.9323100074132761
0,0.9991417656357701,0.00015134953094011227
1,0.21339408379010785,0.994634446353914
0,0.8745505049495778,6.0145690779078755e-05
1,0.21339408379010785,0.9901806823556234
1,0.009707549119827658,0.9976386600514122
1,0.0015788830053065344,0.9983257762565843
0,0.8745505049495778,0.00010205693786908117
0,0.8745505049495778,0.00010827586828857207
0,0.9760967026010258,2.7615682335494488e-05
0,1.0,0.000900455171765575
1,0.009707549119827658,0.9993717350071243
1,0.21339408379010785,0.9728065397164933
1,0.003473899112943449,0.9834443686785358
0,0.8740013561302477,0.00025559107368966494
1,0.009707549119827658,0.9838964454919507
1,0.3863043072291741,0.8050756319431686
0,0.9760967026010258,2.770641131422822e-05
1,0.0015788830053065344,0.997303113229822
0,0.9991417656357701,0.03299704600187158
0,0.8162176843254297,0.028258352239971068
1,0.003473899112943449,0.9878070159708653
1,0.21339408379010785,0.9331824267753344
0,0.9459740930585543,5.567738343627743e-05
0,0.8745505049495778,8.467622131363411e-05
0,0.9991417656357701,0.00027996142329703936
0,0.9459740930585543,9.878678271507019e-05
0,0.9760967026010258,2.8502606413691884e-05
1,0.019540771911287457,0.9995257965415838
0,0.9991417656357701,0.00014671302845427995
1,0.003473899112943449,0.9872934111467089
0,0.9991417656357701,0.0001384251401701205
1,0.3172743034973669,0.986635439756956
1,0.21339408379010785,0.9191730375961688
1,0.0015788830053065344,0.998085479024039
0,0.9991417656357701,0.00017103721724111767
1,0.003473899112943449,0.9895055717556505
0,0.8745505049495778,0.0001157564610901107
1,0.021374274625324218,0.997148329888042
0,0.9961613774964594,0.003191875619295221
1,0.0015788830053065344,0.9967605930718633
1,0.0015788830053065344,0.9982793641221178
1,0.24585071538839035,0.9999475988162275
0,0.9991417656357701,0.00047613596724096845
0,0.9991417656357701,0.0005047612099740998
1,0.009707549119827658,0.9854895710338892
1,0.009707549119827658,0.9998605639041922
1,0.009707549119827658,0.9839435618383838
0,0.8497757301748029,0.006610732215984627
0,0.8745505049495778,0.00022259970608979278
1,0.21339408379010785,0.9710136167505349
0,0.8740013561302477,0.00038826782847314146
0,1.0,0.00020051218609569552
0,0.8745505049495778,7.110094952143314e-05
1,0.0015788830053065344,0.9977610951812649
1,0.8162176843254297,0.37789106782252013
0,0.8745505049495778,7.537889562030804e-05
0,0.9760967026010258,3.0121614482906085e-05
0,0.9459740930585543,5.746037872934222e-05
0,0.8745505049495778,0.00011247937967049343
0,0.9991417656357701,0.0004222910574733053
0,0.8745505049495778,0.0002281554775602189
1,0.003473899112943449,0.9852554630543141
1,0.21339408379010785,0.9778610133114126
1,0.009707549119827658,0.9723934742529964
1,0.009707549119827658,0.9822732737904653
0,0.9429502442946379,0.02033631793532833
1,0.009707549119827658,0.9884378615764345
0,0.9991417656357701,6.752541275160087e-05
1,0.009707549119827658,0.9881781629423038
1,0.003473899112943449,0.9950516321939583
1,0.021374274625324218,0.9862338545153831
1,0.021374274625324218,0.9932952505539229
1,0.6399334697383906,0.7795464177460957
0,1.0,0.0009520575879216134
0,0.9991417656357701,4.254313781481235e-05
0,0.9991417656357701,0.0002912886935133507
1,0.21339408379010785,0.9762781226288827
0,0.9459740930585543,6.270522287121629e-05
1,0.0015788830053065344,0.9986228958119059
1,0.0015788830053065344,0.9983290158191575
1,0.0015788830053065344,0.9906149833057494
1,0.21339408379010785,0.9522281664426789
0,0.8745505049495778,5.768940517965724e-05
1,0.009707549119827658,0.9823924779606484
0,0.8745505049495778,0.00010086901687084877
0,0.8745505049495778,7.107036935537251e-05
1,0.019540771911287457,0.9999042055031251
0,0.8740013561302477,0.0002736611621694388
0,0.9459740930585543,0.0002237637988086956
0,0.9710144927536232,0.003887137829559737
0,0.9459740930585543,6.295358212245386e-05
1,0.24585071538839035,0.9995235686180102
0,0.8404433102808744,0.2821659630858771
1,0.24585071538839035,0.9349291623026678
1,0.003473899112943449,0.9866316436052924
0,0.8740013561302477,0.0014761975561095853
0,0.9961613774964594,0.003303865451353684
0,1.0,0.00019173427036832096
0,1.0,0.0009990821779170475
0,0.9991417656357701,4.0522979428594444e-05
0,0.9991417656357701,0.0004221848130542716
0,0.8745505049495778,0.00010380963437022644
1,0.003473899112943449,0.9859511297005694
0,0.8745505049495778,0.00018173207200203442
1,0.0015788830053065344,0.9960108244728347
1,0.009707549119827658,0.987392458994236
0,0.9961613774964594,0.0035902770990320063
0,0.9991417656357701,0.0002932412549496792
1,0.009707549119827658,0.9857343819968514
0,1.0,0.001045285043878958
0,0.9991417656357701,0.0005663177331071371
1,0.2848176718990844,0.9995205122820453
0,0.9760967026010258,3.362473613302977e-05
1,0.07011489160611968,0.9230903948588118
1,0.21339408379010785,0.9705950089165145
0,0.8745505049495778,0.0001339930275868917
1,0.003473899112943449,0.9848360169428116
0,0.9459740930585543,5.946680808296947e-05
0,0.9991417656357701,0.0003053794304064829
1,0.0015788830053065344,0.9960392476891874
1,0.003473899112943449,0.9969016093921429
0,1.0,0.0011724357905846647
1,0.0015788830053065344,0.9956180774231853
1,0.003473899112943449,0.9825003064493688
0,0.8745505049495778,0.00022759856327392
1,0.0015788830053065344,0.9965236574127379
1,0.2848176718990844,0.9990608484503112
1,0.0015788830053065344,0.9984031325705824
0,0.9459740930585543,7.345739195064433e-05
1,0.021374274625324218,0.9784400622231125
0,0.9961613774964594,0.002689145067470979
0,1.0,0.0009586208786532957
0,0.8745505049495778,0.00022014043810419234
1,0.009707549119827658,0.9881027669224515
1,0.003473899112943449,0.9870418312440755
0,0.9459740930585543,6.283909352645379e-05
1,0.21339408379010785,0.9768716072593865
0,0.8740013561302477,0.0025006325422347576
0,0.9991417656357701,0.0001498080372237288
0,0.9991417656357701,4.422863773019156e-05
0,0.9760967026010258,3.002404312814618e-05
0,0.8745505049495778,0.0001104970836273733
0,0.9991417656357701,0.0004175159362336614
0,0.9991417656357701,9.201596811553206e-05
1,0.003473899112943449,0.9769676059625675
0,0.9459740930585543,0.0002060801285212859
0,0.9459740930585543,0.0002978825719794142
0,0.8745505049495778,0.00024486611069414075
0,0.8740013561302477,0.00021095470531443017
1,0.21339408379010785,0.999992800340066
1,0.003473899112943449,0.9912199173491206
0,0.9991417656357701,4.448566393023299e-05
1,0.031207497416784014,0.9916053970130925
0,0.9459740930585543,5.5492267393825536e-05
0,0.9991417656357701,0.0002755698514401384
1,0.3863043072291741,0.6980508033923305
0,0.9991417656357701,0.00031640587772641826
0,0.8745505049495778,0.0001100502842948408
0,0.9760967026010258,2.8576919533697692e-05
0,0.9961613774964594,0.0008059769680633206
0,0.9991417656357701,0.0009257195821939549
0,0.9760967026010258,2.8925052142481415e-05
1,0.003473899112943449,0.9941516454055865
0,0.8740013561302477,0.0002622504589306755
1,0.003473899112943449,0.9918582789496371
0,1.0,0.0007617440176371348
0,0.9991417656357701,0.0001457975563086303
1,0.9177638819768777,0.011612833391247211
0,0.9760967026010258,2.8309313422718066e-05
0,0.9760967026010258,2.76531427058779e-05
1,0.0015788830053065344,0.9990271869742591
1,0.009707549119827658,0.9879363676414528
1,0.031207497416784014,0.9930212815343963
1,0.0015788830053065344,0.9978894163822328
0,0.9991417656357701,0.0002795787542204184
0,0.9967105263157895,0.00078767909948211
0,0.8745505049495778,5.4488717894629584e-05
1,0.009707549119827658,0.9893811365288407
1,0.21339408379010785,0.9768740956171673
0,0.9760967026010258,2.8718431033597217e-05
0,0.9967105263157895,0.0043780054643509725
1,0.003473899112943449,0.9865183259710458
0,0.9655837197863969,0.1575204781967699
1,0.21339408379010785,0.954428821149055
0,0.24585071538839035,0.911238942981168
1,0.0015788830053065344,0.9961150879200457
0,0.9991417656357701,6.003803041643307e-05
1,0.013307121904403247,0.999994324020888
1,0.009707549119827658,0.9921178830516029
0,0.8162176843254297,0.04096755412784124
0,0.9991417656357701,0.0010543344165863274
0,0.9961613774964594,0.0003932244939953855
0,0.9991417656357701,5.180484915052851e-05
